values,names,fixed,lower_bound,upper_bound,steps,lower_start,upper_start
0.1,beta,1,-0.5,0.5,0.1,-0.2,0.2
1,overall_prob,1,0,1,0.1,0,1
1.015968201,tshift,1,0,2,0.1,0,2
2.598859182,desired_mode,1,0,7,0.1,0,10
20.48094129,viral_peak,0,0,40,0.1,15,25
7.330349593,obs_sd,0,0,25,0.1,1,10
0.326676744,sd_mod,1,0,1,0.1,0.4,0.6
20.14337397,sd_mod_wane,1,0,14,0.1,0,14
45,true_0,1,40,100,0.1,40,100
40,intercept,1,35,100,0.1,35,100
3,LOD,1,0,10,0.1,0,10
5,incu,1,0,10,0.1,0,10
9.714690319,t_switch,0,0,30,0.1,10,30
38,level_switch,0,0,40,0.1,33,40
1000,wane_rate2,1,0,10000,0.1,10,50
0.155959925,prob_detect,0,0,1,0.1,0.01,0.1
1,t_unit,1,0,1,0.1,0,1
0.1,beta_alt,1,-0.5,0.5,0.1,-0.2,0.2
1,overall_prob_scale,1,0,100,0.1,0.9,1.1
1,desired_mode_scale,1,0,100,0.1,0.9,1.1
1,viral_peak_scale,0,0,100,0.1,0.9,1.1
1,obs_sd_scale,1,0,100,0.1,0.9,1.1
1,sd_mod_scale,1,0,100,0.1,0.9,1.1
1,sd_mod_wane_scale,1,0,100,0.1,0.9,1.1
1,t_switch_scale,0,0,100,0.1,0.9,1.1
1,level_switch_scale,1,0,100,0.1,0.9,1.1
1,prob_detect_scale,1,0,100,0.1,0.9,1.1
1.5,nu,1,0,100,0.1,2,5
0.03,rho,1,0,100,0.1,0.01,0.5
-7,prob,0,-100,100,0.1,-1,1
-7,prob_alt,0,-100,100,0.1,-1,1